Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Gpu,OpSys,Weight,SSD,HDD,Flash,Hybrid,Price_rupees
Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,others,8,Intel,macOS,1.37,256,0,0,0,148995.0
Lenovo,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4,Intel,No OS,2.2,128,0,0,0,38745.0
Asus,Gaming,17.3,Full HD 1920x1080,AMD Ryzen 1700 3GHz,8,AMD,Windows 10,3.2,256,1000,0,0,136395.0
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,AMD,Windows 10,2.3,256,0,0,0,67095.0
Asus,Notebook,17.3,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4,Nvidia,Windows 10,2.8,0,1000,0,0,48930.0
Lenovo,2 in 1 Convertible,10.1,IPS Panel Touchscreen 1920x1200,Intel Atom x5-Z8550 1.44GHz,4,Intel,Android,0.69,0,0,64,0,33495.0
Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,Nvidia,Windows 10,2.2,256,0,0,0,88305.0
HP,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4,AMD,Windows 10,1.86,256,0,0,0,41841.450000000004
HP,Notebook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,Intel,Windows 10,1.49,512,0,0,0,115815.0
Acer,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4,Intel,Windows 10,2.4,0,1000,0,0,40320.0
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,AMD,Windows 10,2.13,256,0,0,0,80619.0
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,Intel,Windows 10,1.91,128,0,0,0,46095.0
Asus,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,Intel,Windows 10,2.0,256,0,0,0,61549.950000000004
MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,Nvidia,Windows 10,2.43,256,2000,0,0,257145.0
Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,Intel,Linux,2.0,256,0,0,0,43575.0
Dell,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,AMD,Windows 10,2.8,256,2000,0,0,136395.0
Dell,Ultrabook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,Intel,Windows 10,1.7,256,0,0,0,92295.0
Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,8,Intel,No OS,1.7,256,0,0,0,62895.0
Asus,Notebook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,Intel,Windows 10,1.4,256,0,0,0,98805.0
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,Intel,Windows 10,1.86,256,0,0,0,72450.0
Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,Nvidia,Windows 10,1.8,512,0,0,0,208215.0
HP,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4,AMD,Windows 10,1.86,0,500,0,0,46062.45
HP,Notebook,14.0,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4,Intel,Windows 10,1.44,32,0,0,0,24045.0
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,Intel,Windows 10,1.9,0,1000,0,0,57645.0
Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12,Nvidia,Linux,3.0,0,1000,0,0,99645.0
Others,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,4,Intel,Windows 10 S,1.252,128,0,0,0,114345.0
Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,AMD,Windows 10,1.4,256,0,0,0,100275.0
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,AMD,Windows 10,2.2,256,0,0,0,91350.0
MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,Nvidia,Windows 10,2.7,128,1000,0,0,114975.0
Acer,Notebook,14.0,1366x768,Intel Core i3 6006U 2GHz,8,Intel,Windows 10,2.1,0,1000,0,0,40845.0
Asus,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,Nvidia,Windows 10,2.2,0,1000,0,0,99645.0
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,Intel,No OS,2.2,0,2000,0,0,54495.0
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,Intel,Windows 10,2.02,128,1000,0,0,89775.0
Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4,Nvidia,Windows 10,2.2,0,1000,0,0,55650.0
HP,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,Nvidia,Windows 10,2.5,128,1000,0,0,102585.0
Dell,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,Intel,Windows 10,1.88,256,0,0,0,115096.8
Apple,Ultrabook,12.0,IPS Panel Retina Display 2304x1440,others,8,Intel,macOS,0.92,512,0,0,0,158550.0
HP,Notebook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,Intel,Windows 10,1.63,256,0,0,0,90300.0
Lenovo,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4,AMD,Windows 10,2.2,128,0,0,0,41895.0
Acer,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4,AMD,Windows 10,2.1,0,1000,0,0,41475.0
Dell,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,Nvidia,Windows 10,2.65,128,1000,0,0,141645.0
HP,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,Nvidia,Windows 10,1.83,256,0,0,0,73395.0
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,Intel,Windows 10,1.96,256,0,0,0,62893.950000000004
Asus,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,Nvidia,Windows 10,2.2,128,1000,0,0,152145.0
Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,Intel,Windows 10,1.21,256,0,0,0,173145.0
Asus,Gaming,15.6,Full HD 1920x1080,others,8,AMD,Windows 10,2.45,0,1000,0,0,73395.0
Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,Nvidia,Windows 10,2.2,0,1000,0,0,72345.0
HP,Notebook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,Intel,Windows 10,1.49,512,0,0,0,125685.0
Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,Nvidia,Windows 10,2.65,256,0,0,0,125475.0
Asus,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,Intel,Windows 10,1.25,256,0,0,0,110145.0
Acer,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,Intel,Windows 10,1.5,256,0,0,0,88935.0
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,AMD,Linux,2.2,0,1000,0,0,62989.5
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,AMD,Linux,2.2,256,0,0,0,50925.0
Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,6,Nvidia,Windows 10,2.0,256,0,0,0,60585.0
HP,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12,Nvidia,Windows 10,2.62,128,1000,0,0,131145.0
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,AMD,Windows 10,1.91,256,0,0,0,75495.0
HP,Notebook,15.6,Full HD 1920x1080,AMD E-Series E2-9000e 1.5GHz,4,AMD,Windows 10,2.1,0,500,0,0,36645.0
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,AMD,Linux,2.2,0,1000,0,0,67935.0
HP,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,Nvidia,Windows 10,1.38,256,0,0,0,117495.0
Others,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,8,Intel,Windows 10 S,1.252,256,0,0,0,140700.0
HP,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6,Nvidia,Windows 10,1.58,256,0,0,0,69195.0
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,Intel,Windows 10,1.85,0,1000,0,0,43564.5
Asus,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,Nvidia,Windows 10,1.3,256,0,0,0,125265.0
MSI,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,Nvidia,Windows 10,2.2,256,1000,0,0,136395.0
Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,Intel,Windows 10,1.58,256,0,0,0,155400.0
Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,Nvidia,Windows 10,1.5,256,1000,0,0,132510.0
Dell,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,Intel Core i7 7560U 2.4GHz,8,Intel,Windows 10,1.23,256,0,0,0,144795.0
Lenovo,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8,Intel,Windows 10,1.37,256,0,0,0,146895.0
HP,Notebook,14.0,IPS Panel 1366x768,Intel Core i5 8250U 1.6GHz,4,Intel,Windows 10,1.63,0,500,0,0,75810.0
Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,Intel,Windows 10,1.21,256,0,0,0,171045.0
HP,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,Intel,Windows 10,1.26,256,0,0,0,146893.95
HP,Notebook,14.0,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,Intel,Windows 10,1.63,512,0,0,0,113820.0
Dell,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,Nvidia,Windows 10,2.16,256,1000,0,0,118684.65
Asus,Notebook,17.3,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,Nvidia,Windows 10,2.0,0,1000,0,0,59220.0
Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,Nvidia,Windows 10,1.7,256,0,0,0,117390.0
Acer,Notebook,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4GHz,6,Intel,Windows 10,2.1,0,1000,0,0,50295.0
MSI,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,Nvidia,Windows 10,1.8,256,2000,0,0,235357.5
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,Nvidia,No OS,2.2,256,0,0,0,66045.0
HP,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,Nvidia,Windows 10,2.5,512,0,0,0,133455.0
Acer,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4,AMD,Windows 10,2.1,256,0,0,0,47355.0
HP,Notebook,15.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4,Intel,No OS,1.86,0,500,0,0,27195.0
HP,Notebook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,Intel,Windows 10,1.63,0,1000,0,0,85260.0
Asus,Notebook,14.0,1366x768,others,4,AMD,Windows 10 S,1.65,64,0,0,0,29188.95
Dell,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,AMD,Windows 10,2.8,256,2000,0,0,146580.0
HP,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,Intel,Windows 10,2.5,256,0,0,0,97440.0
Dell,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8,AMD,Windows 10,2.36,0,1000,0,0,67093.95
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,AMD,Windows 10,2.2,0,1000,0,0,47145.0
Acer,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,Intel,Windows 10,1.6,256,0,0,0,92820.0
Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4,Nvidia,Windows 10,2.2,256,0,0,0,60060.0
HP,Notebook,15.6,1366x768,Intel Core i7 7500U 2.7GHz,8,Intel,Windows 10,2.05,0,1000,0,0,62790.0
HP,Notebook,14.0,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,Intel,Windows 10,1.63,256,0,0,0,103740.0
Lenovo,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,Intel,No OS,1.9,0,1000,0,0,26497.800000000003
Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,Nvidia,Windows 10,3.0,128,1000,0,0,98490.0
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,Nvidia,No OS,2.2,0,1000,0,0,52395.0
HP,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,Intel,Windows 10,1.32,256,0,0,0,73395.0
Acer,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4,Nvidia,Windows 10,3.0,0,1000,0,0,68775.0
Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,AMD,Windows 10,1.75,256,0,0,0,117182.09999999999
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,Nvidia,No OS,2.4,256,0,0,0,91245.0
Others,Notebook,15.6,1366x768,Intel Core i5 6200U 2.3GHz,4,Intel,Windows 10,2.1,0,500,0,0,63210.0
HP,Notebook,15.6,1366x768,AMD A6-Series 9220 2.5GHz,4,AMD,Windows 10,1.86,256,0,0,0,38745.0
Asus,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,Intel,Windows 10,1.25,256,0,0,0,115395.0
HP,Ultrabook,12.5,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core M 6Y75 1.2GHz,8,Intel,Windows 10,0.97,512,0,0,0,211470.0
Asus,Notebook,15.6,Full HD 1920x1080,Intel Celeron Dual Core N3350 1.1GHz,4,Intel,Windows 10,2.0,0,1000,0,0,36120.0
MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,Nvidia,Windows 10,2.9,256,1000,0,0,213045.0
Acer,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4,Intel,Windows 10,2.1,0,1000,0,0,46935.0
Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,Nvidia,Windows 10,2.56,512,0,0,0,131172.3
Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,Nvidia,Windows 10,2.62,0,0,0,1,94395.0
Lenovo,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,Intel,Windows 10,1.9,128,0,0,0,52290.0
MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,Nvidia,Windows 10,2.8,256,1000,0,0,198450.0
HP,Ultrabook,14.0,Full HD 1920x1080,others,4,Intel,Windows 10,1.48,256,0,0,0,113610.0
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,6,AMD,Windows 10,1.91,256,0,0,0,64995.0
Lenovo,2 in 1 Convertible,14.0,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4GHz,4,Intel,Windows 10,1.74,256,0,0,0,66045.0
Asus,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,Intel,Windows 10,1.1,256,0,0,0,138075.0
Dell,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8,Intel,Windows 10,1.56,256,0,0,0,110145.0
Others,Notebook,15.6,1366x768,others,4,Intel,Windows 10,2.1,0,500,0,0,46935.0
Asus,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4,AMD,Windows 10,2.03,0,1000,0,0,42315.0
Acer,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4,Nvidia,Windows 10,3.0,256,0,0,0,84525.0
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,AMD,Windows 10,2.13,256,0,0,0,76440.0
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,Nvidia,Windows 10,2.5,256,0,0,0,113295.0
Acer,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,Intel,Windows 10,2.1,0,1000,0,0,36540.0
MSI,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,Nvidia,Windows 10,2.4,256,1000,0,0,188895.0
Acer,Notebook,15.6,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4,Intel,Windows 10,2.1,0,1000,0,0,38168.549999999996
Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,Nvidia,Windows 10,2.56,128,1000,0,0,111351.45
Acer,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,Nvidia,Windows 10,3.0,256,0,0,0,89670.0
HP,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4,Intel,Windows 10,1.49,0,500,0,0,79170.0
Others,Ultrabook,13.0,IPS Panel Full HD 2160x1440,Intel Core i5 7200U 2.5GHz,8,Intel,Windows 10,1.05,256,0,0,0,141645.0
HP,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6,AMD,Windows 10,2.71,0,2000,0,0,73395.0
Lenovo,Notebook,15.6,1366x768,others,4,AMD,No OS,2.2,0,500,0,0,32445.0
Others,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4,Intel,Windows 10,2.0,0,500,0,0,51345.0
HP,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,Nvidia,Windows 10,2.5,256,0,0,0,96915.0
Dell,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,8,Intel,Windows 10,2.3,0,1000,0,0,48195.0
Acer,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4,Intel,Windows 10,2.1,128,0,0,0,47145.0
MSI,Gaming,18.4,Full HD 1920x1080,others,32,Nvidia,Windows 10,4.4,512,1000,0,0,293895.0
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,AMD,Windows 10,1.9,128,1000,0,0,85365.0
HP,2 in 1 Convertible,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i5 8250U 1.6GHz,8,Intel,Windows 10,1.29,256,0,0,0,157395.0
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,AMD,Linux,2.02,256,2000,0,0,110145.0
Dell,Ultrabook,13.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,Intel,Windows 10,1.23,256,0,0,0,146895.0
Lenovo,2 in 1 Convertible,13.9,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16,Intel,Windows 10,1.4,512,0,0,0,194145.0
Others,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8,Intel,Windows 10,2.0,128,0,0,0,83265.0
Others,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,Nvidia,No OS,1.95,256,0,0,0,125895.0
Dell,Notebook,17.3,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,16,Nvidia,Windows 10,2.77,512,0,0,0,162645.0
Dell,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,16,Nvidia,Windows 10,2.06,512,0,0,0,251685.0
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,Nvidia,No OS,2.4,256,0,0,0,81795.0
